data;
set S := a b c d e f g h i j k l m n;

param cost: a		b		c   	d   	e   	f   	g   	h   	i   	j   	k   	l   	m   	n :=
        a   . 		153		510		706		966		581		455		70		160		372		157		567		342		398
        b   .   	.		422		664		997		598		507		197		311		479		310		581		417		376
        c   .  		.  		. 		289		744		390		437		491		645		880		618		374		455		211
        d   .  		.		.		.		491		265		410		664		804		1070	768		259		499		310	
		e	.		.		.		.		.		400		514		902		990		1261	947		418		635		636
		f	.		.		.		.		.		.		168		522		634		910		593		19		284		239
		g	.		.		.		.		.		.		.		389		482		757		439		163		124		232
		h	.		.		.		.		.		.		.		.		154		406		133		508		273		355
		i	.		.		.		.		.		.		.		.		.		276		43		623		358		498
		j	.		.		.		.		.		.		.		.		.		.		318		898		633		761
		k	.		.		.		.		.		.		.		.		.		.		.		582		315		464
		l	.		.		.		.		.		.		.		.		.		.		.		.		275		221
		m	.		.		.		.		.		.		.		.		.		.		.		.		.		247
		n 	.		.		.		.		.		.		.		.		.		.		.		.		.		.;
